,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003246812281499,3.920912308767752,4.15568931380591,3.52769465544346,3.9202152814591207,4.142345384526096,2.655727510242083,4.065790136793314,4.010443292601362,3.804801593640377,3.5359545332487334,3.5606468891084955,4.960091298835059,3.9993634116462844,3.2659357142155874,3.8858088637502943,2.3970485867526126,3.1567807694611516,4.125750509093768,3.407128973767675,4.011981320059486,3.608474122169337,3.4817754805814687,3.7983014223984446,3.7968154207617437,3.984574825101198,3.329663176627056,3.990537518565868,3.4577603066074634,3.1118351992506232,2.7254730214908975,3.3595296238052375,3.03895496682717,4.573066573153468
2,4.970681565226512,4.96794716846033,4.445123747722342,3.904208190072807,4.830751304649336,4.706867951303652,3.3943647008033175,4.698724052100216,4.531158089103171,4.8372523522233175,3.963579276829471,4.065177205423284,4.777887551452707,4.012882859629949,3.9985116939575396,4.21774658985641,2.5290161481845868,3.543014021890876,4.200116326211874,4.399405701387874,4.993928816572141,4.573952553776584,3.8221490316378843,4.732122767441509,4.314162964416761,4.494240515938091,4.414344443387257,4.163004384725689,3.462194795080459,4.388197807146434,2.9943006364873277,4.3468583037790305,4.013638911825379,3.999391884925521
3,4.017251556060904,3.985713137268394,4.955722370953205,4.088508570060178,4.528654248272483,4.271169868772821,2.8185811641512193,4.337531578963456,4.491438624040537,4.367579178164616,3.7238332917359656,3.5327938704850887,4.964939304935116,4.196904587151092,3.4431781214307473,3.620424177956236,2.7763981971965808,3.423521630254897,4.221480475757539,3.5028765768035695,4.440170646254888,3.0109289092229385,3.0160279853105707,3.8630924584145183,4.079937985616436,4.316814396294808,3.8786880140403905,4.474799632456757,3.205882637707508,3.2413674861632007,2.2364474707007806,2.594748426574805,3.4443587158835287,4.6020111085881155
4,4.991104779096529,4.987256403626469,4.92871055798455,4.961929949813308,5.01059313269296,4.961637818175628,3.945205977773759,5.075936916508787,4.951714077077161,5.017105544500312,4.511186611419578,3.821832115750518,5.00040583876954,4.204393453498376,3.582906402779337,4.371480527277821,3.1340724140617775,3.542049179883689,4.34126161832475,3.982655473275922,4.722798435564163,4.59173817976706,3.5979869216738405,4.979658736984167,4.0626835354743704,4.741851134353562,4.502922914589299,4.906525375353811,3.116573274175158,3.4129417544358125,2.0093537871444345,4.223553370803062,4.171285483801356,4.644376145265664
5,4.9806370598103875,4.240660124745264,5.460270494788005,4.373969772649107,5.161126125274879,4.556825941090937,3.1480714962591194,4.639247733265501,4.982084279201164,4.918024911586509,4.143056703206074,4.106167208814412,4.975156400101816,4.6752019518384955,3.297986586184136,4.269278779714615,3.0231320307084752,3.4376407533349975,4.96974673530478,3.391160825939834,3.995075979427551,3.489976126587886,3.109123209536527,4.4315821487783085,4.509076321411028,4.723981572821996,3.73812632705976,5.071037342158676,3.01725141661557,3.6106048745662576,2.996283317981549,2.031808069826831,4.980784312075176,4.987327728902782
6,4.970704795814315,4.964544045438659,4.167696789926303,3.8768548106073633,4.5072457812223465,4.5418865659839245,3.5560980227764976,4.707636324660165,4.286258082404642,4.623754145455547,3.8846035960705088,3.7871208659707802,4.3235169956664725,3.6316789871158655,3.9081563589804302,4.099913301453913,2.538473742788546,3.085282852860403,3.735411420330776,4.18535735286331,4.888840947269449,4.815348985977166,3.9064097831137508,4.848127651255639,4.01705386179049,4.217886109134151,4.73412856823729,3.8367951485102187,3.4751199641660824,3.810396952960079,2.0107489152957188,4.979314899564522,4.0017210792813005,3.0166878393701992
7,4.97888871112767,4.184145899469818,4.220284139418444,2.041102016300441,4.145295518551998,4.237625794219336,2.827369223585753,4.040783602722147,4.000203098292288,4.115040323105262,3.329433363634225,4.967710889540226,4.9885876773041264,4.912676510312692,4.039400342210124,4.983450709397533,2.082242145364198,2.9405797775492544,4.262862341661537,4.526658592299579,4.620093664835458,4.995956399467961,4.981593425633934,4.693763102528189,4.5483027534001685,3.988098131042034,3.797565699641644,3.6669223668575412,5.166884013554117,4.448816220493165,4.278161170078464,4.5188949705498604,4.579567752086979,4.002982266596791
8,4.033174160970726,4.610289142611175,4.988316887155541,4.092963142759992,4.812296337771265,4.380083959930979,3.4547774649150966,4.4565943610334795,4.892405591004639,5.002074192174884,4.260683293938073,4.029551494612009,4.413402938523978,4.984757454044854,3.482400938950377,4.04757374584599,3.281296154948215,4.053476521717557,3.660345891644554,3.938062420033031,5.036287728594665,3.6355487128916906,3.0011838054967557,4.4807376009797775,4.267400386869845,4.697453636209308,4.961225759230498,4.964598736431762,3.3999964375803504,3.4725379697877496,2.0992626174071645,3.153066541027943,3.7944896002942805,4.453907862693526
9,4.985838796854377,4.639484635807356,4.999142108853082,4.143468873437104,4.872867221723095,4.668107971837833,3.408570476946314,4.796642247938676,4.768688765311892,4.763737707449284,4.352629248705231,4.288912611007199,4.999010770417892,4.867177391122242,3.3623098534739446,4.977790403986355,2.962685578229324,3.4507223442260995,4.361788008617101,3.5877869489080503,4.595967146323416,4.565899519312005,3.9721087853270127,4.754436271853237,4.42121501003452,4.743480540712794,4.053858716675741,4.97497156673867,3.9982834059686025,3.4451344761262748,2.611246383425139,3.7328705096398087,4.46122282763741,4.889072022337652
10,4.0096360541201745,3.985704677157671,4.000596185881101,2.5252115759121887,3.924937885261593,4.25122124530963,2.7783176398225917,4.018298139917873,4.0072720108473945,3.9032116442340956,2.5112543046249765,4.011773982742562,4.9904183257682915,3.0199563526554583,4.950862067845952,3.548941285270609,2.960683287192257,2.8003734442827444,4.529694060518425,5.090646186857443,3.978693553215346,4.001605548338933,4.960503783623549,4.03697734995814,3.646653033199181,3.572269271489782,3.8980986121048735,3.206006161011411,4.997894977685198,5.334054286089583,2.9687290311292807,4.665775138551813,3.298993106183493,4.0257037066557135
